id,value,feed_id,created_at,lat,lon,ele
0EY811W6TX0BY22F10WQMVP0N8,Last update counter: 11642,1794379,2022-01-27 04:34:00 UTC,0.0,0.0,0.0
0EY8125BFGWRA8KHM5ZJGHNWHH,Last update counter: 11643,1794379,2022-01-27 04:34:30 UTC,0.0,0.0,0.0
0EY812EGT31SQ4P5JPX5D16XTV,Last update counter: 11644,1794379,2022-01-27 04:35:00 UTC,0.0,0.0,0.0
0EY812QMY7DR1VD5SYABXRS02F,Last update counter: 11645,1794379,2022-01-27 04:35:30 UTC,0.0,0.0,0.0
0EY8130SP2QDQTQT03MGFD8R20,Last update counter: 11646,1794379,2022-01-27 04:36:00 UTC,0.0,0.0,0.0
0EY8139ZAHBYSWWHMDCFRQ19AH,Last update counter: 11647,1794379,2022-01-27 04:36:30 UTC,0.0,0.0,0.0
0EY813K3WDQ7G8CK85ZSXXSWME,Last update counter: 11648,1794379,2022-01-27 04:37:00 UTC,0.0,0.0,0.0
0EY813W98145D8M59BGVBYYWN6,Last update counter: 11649,1794379,2022-01-27 04:37:30 UTC,0.0,0.0,0.0
0EY8145EEAWSGGEQH751TPFZ5D,Last update counter: 11650,1794379,2022-01-27 04:38:00 UTC,0.0,0.0,0.0
0EY814EJEEK8XQE71NS601WCCY,Last update counter: 11651,1794379,2022-01-27 04:38:30 UTC,0.0,0.0,0.0
0EY814QR77YP051C2JJN500MT4,Last update counter: 11652,1794379,2022-01-27 04:39:00 UTC,0.0,0.0,0.0
0EY8150XARFQBHJ9BH46SWFFQQ,Last update counter: 11653,1794379,2022-01-27 04:39:30 UTC,0.0,0.0,0.0
0EY815A1E9JCKDYHKE6QYDJAW6,Last update counter: 11654,1794379,2022-01-27 04:40:00 UTC,0.0,0.0,0.0
0EY815K6M1WXAHT8X7HE57MFV8,Last update counter: 11655,1794379,2022-01-27 04:40:30 UTC,0.0,0.0,0.0
0EY815WCJT5XYA02H6P0T2BEEF,Last update counter: 11656,1794379,2022-01-27 04:41:00 UTC,0.0,0.0,0.0
0EY8165GMBF2ZY37RFAC39KV4W,Last update counter: 11657,1794379,2022-01-27 04:41:30 UTC,0.0,0.0,0.0
0EY816ENA7V3MFWWSMZQA4HDV4,Last update counter: 11658,1794379,2022-01-27 04:42:00 UTC,0.0,0.0,0.0
0EY816QV0V0WMAAFWCQXZTEKTN,Last update counter: 11659,1794379,2022-01-27 04:42:30 UTC,0.0,0.0,0.0
0EY8170ZNBV37BK4AJKAFMRD5F,Last update counter: 11660,1794379,2022-01-27 04:43:00 UTC,0.0,0.0,0.0
0EY817A51KE4FN4QCDJDG0736E,Last update counter: 11661,1794379,2022-01-27 04:43:30 UTC,0.0,0.0,0.0
0EY817K9WA29KV5D5A6D1T9XBP,Last update counter: 11662,1794379,2022-01-27 04:44:00 UTC,0.0,0.0,0.0
0EY817WF5CCPJESKFDVKMXY4AN,Last update counter: 11663,1794379,2022-01-27 04:44:30 UTC,0.0,0.0,0.0
0EY8185M00E3GS09BV83A11NC2,Last update counter: 11664,1794379,2022-01-27 04:45:00 UTC,0.0,0.0,0.0
0EY818ERPC3PBKHC2TNNNMS3YC,Last update counter: 11665,1794379,2022-01-27 04:45:30 UTC,0.0,0.0,0.0
0EY818QXW8Y5BZFVY2SM8ABJYV,Last update counter: 11666,1794379,2022-01-27 04:46:00 UTC,0.0,0.0,0.0
0EY819127RJ740TW76HG8ZSJMN,Last update counter: 11667,1794379,2022-01-27 04:46:30 UTC,0.0,0.0,0.0
0EY819A6YAMDFMMVRAWGRY16CN,Last update counter: 11668,1794379,2022-01-27 04:47:00 UTC,0.0,0.0,0.0
0EY819KCGK1TE496FDM3NH69J3,Last update counter: 11669,1794379,2022-01-27 04:47:30 UTC,0.0,0.0,0.0
0EY819WH7VEGC21NFPTXK1PDKM,Last update counter: 11670,1794379,2022-01-27 04:48:00 UTC,0.0,0.0,0.0
0EY81A5NYJJSADATME49X5D03J,Last update counter: 11671,1794379,2022-01-27 04:48:30 UTC,0.0,0.0,0.0
0EY81AEV80KKPHF92BXQ63EHGP,Last update counter: 11672,1794379,2022-01-27 04:49:00 UTC,0.0,0.0,0.0
0EY81AQZRHBN55YS32HVJZAQ7M,Last update counter: 11673,1794379,2022-01-27 04:49:30 UTC,0.0,0.0,0.0
0EY81B159WDEFQXER90S9679DH,Last update counter: 11674,1794379,2022-01-27 04:50:00 UTC,0.0,0.0,0.0
0EY81BAAH4Z34CJBMAYA0WC7V2,Last update counter: 11675,1794379,2022-01-27 04:50:30 UTC,0.0,0.0,0.0
0EY81BKF8TMQC0AG3EYCB5A4JA,Last update counter: 11676,1794379,2022-01-27 04:51:00 UTC,0.0,0.0,0.0
0EY81BWKZFMHNBC8GGTE3G57Y3,Last update counter: 11677,1794379,2022-01-27 04:51:30 UTC,0.0,0.0,0.0
0EY81C5RE5R5N4Z9V66EGECRDP,Last update counter: 11678,1794379,2022-01-27 04:52:00 UTC,0.0,0.0,0.0
0EY81CEYNH284PKNQ3D157CBGC,Last update counter: 11679,1794379,2022-01-27 04:52:30 UTC,0.0,0.0,0.0
0EY81CR3EWZGNTEM05KBTBNCNE,Last update counter: 11680,1794379,2022-01-27 04:53:00 UTC,0.0,0.0,0.0
0EY81D17GAQGZD6VGKECDC97CA,Last update counter: 11681,1794379,2022-01-27 04:53:30 UTC,0.0,0.0,0.0
0EY81DAD73YBMVVG5GM5Y41X3E,Last update counter: 11682,1794379,2022-01-27 04:54:00 UTC,0.0,0.0,0.0
0EY81DKHTMX98A08YFYQ4STY3R,Last update counter: 11683,1794379,2022-01-27 04:54:30 UTC,0.0,0.0,0.0
0EY81DWPMH6Q0TTBSXZRAA0NEX,Last update counter: 11684,1794379,2022-01-27 04:55:00 UTC,0.0,0.0,0.0
0EY81E5W1DNW7TZEM8ZHTN9YM4,Last update counter: 11685,1794379,2022-01-27 04:55:30 UTC,0.0,0.0,0.0
0EY81EF0HRSPMKHFP9BPYHGBYS,Last update counter: 11686,1794379,2022-01-27 04:56:00 UTC,0.0,0.0,0.0
0EY81ER5NDRXGT2RTQY8RMPQWH,Last update counter: 11687,1794379,2022-01-27 04:56:30 UTC,0.0,0.0,0.0
0EY81F1A7T9MJPEA088FMFTG42,Last update counter: 11688,1794379,2022-01-27 04:57:00 UTC,0.0,0.0,0.0
0EY81FAFBHTGXW5XS4QKRTJFPS,Last update counter: 11689,1794379,2022-01-27 04:57:30 UTC,0.0,0.0,0.0
